event,timestamp,object,app,response
activity,29.48436,PhysicalObject(Clone),Lang. Learn,Hard
activity,34.14666,PhysicalObject(Clone),Lang. Learn,Good
activity,42.0732,chair,Packer,Create Ticket
activity,51.36617,wine glass,Packer,Create Ticket
activity,57.22768,wine glass,TODO,Check
activity,63.02285,cup,TODO,Check
activity,73.55548,cup,Packer,Create Ticket
activity,75.21156,car,Packer,Create Ticket
activity,84.47114,PhysicalObject(Clone),Lang. Learn,Good
activity,91.60223,PhysicalObject(Clone),Lang. Learn,Good
activity,95.13023,PhysicalObject(Clone),Lang. Learn,Good
activity,108.7846,smartphone,Packer,Create Ticket
activity,111.8189,keyboard,Packer,Remove
activity,115.7777,tv,Packer,Remove
activity,119.5136,book,Packer,Create Ticket
activity,122.1387,mouse,Packer,Create Ticket
activity,132.2633,clock,Packer,Create Ticket
activity,146.3565,apple,Packer,Remove
activity,152.2861,PhysicalObject(Clone),Lang. Learn,Good
activity,158.0414,apple,TODO,Check
activity,162.6421,airplane,TODO,Check
activity,174.2004,donut,TODO,Check
activity,181.522,PhysicalObject(Clone),Lang. Learn,Good
activity,187.6849,PhysicalObject(Clone),Lang. Learn,Easy
activity,204.8741,PhysicalObject(Clone),Lang. Learn,Good
activity,215.6939,PhysicalObject(Clone),Lang. Learn,Easy
activity,233.5781,tennis racket,TODO,Check
activity,238.8134,sports ball,TODO,Check
activity,243.5368,smartphone,TODO,Check
activity,249.871,scissors,TODO,Check
activity,255.0951,potted plant,TODO,Check
activity,260.4881,teddy bear,TODO,Check
activity,264.0256,book,TODO,Check
activity,280.7445,potted plant,Packer,Create Ticket
activity,290.229,PhysicalObject(Clone),Lang. Learn,Hard
activity,298.7899,PhysicalObject(Clone),Lang. Learn,Good
