event,timestamp,object,position
object,6.301048,clock,(0.028; -0.285; -6.885)
object,6.453835,teddy bear,(0.546; 0.345; -7.231)
object,6.849859,keyboard,(0.744; 0.223; -7.941)
object,6.849859,chair,(0.598; 0.054; -8.333)
object,6.849859,tv,(0.957; 0.409; -7.670)
object,8.216656,wine glass,(-1.192; 0.276; -7.529)
object,10.94721,smartphone,(0.493; 0.204; -7.607)
object,11.38221,mouse,(0.944; 0.224; -8.195)
object,12.29506,book,(1.149; 0.296; -8.108)
object,46.10282,cup,(-1.337; 0.293; -7.942)
object,47.36663,car,(-1.595; 0.271; -8.129)
object,50.23412,sports ball,(-1.179; 0.270; -8.148)
object,50.36469,zebra,(-1.005; 0.247; -8.006)
object,109.0503,scissors,(0.275; 0.230; -7.512)
object,140.3568,airplane,(-0.873; 0.259; -7.802)
object,141.7875,apple,(-0.623; 0.312; -7.661)
object,168.3676,donut,(-0.856; 0.258; -7.415)
object,182.5337,bottle,(-1.388; 0.308; -7.695)
object,190.715,tennis racket,(-1.399; 0.232; -8.312)
object,197.2102,giraffe,(-1.143; 0.241; -7.823)
object,244.9695,potted plant,(0.740; 0.279; -7.435)
