event,timestamp,app,action
contextMenu,80.98075,zebra,open
contextMenu,100.2985,sports ball,open
contextMenu,121.5479,apple,open
contextMenu,136.969,keyboard,open
contextMenu,138.767,tv,open
contextMenu,146.2269,mouse,open
contextMenu,168.1059,tennis racket,open
contextMenu,169.4075,car,open
contextMenu,176.0329,cup,open
contextMenu,177.8635,sports ball,open
contextMenu,180.1649,bottle,open
contextMenu,181.9644,zebra,open
contextMenu,183.6039,wine glass,open
contextMenu,184.5598,airplane,open
contextMenu,187.4296,apple,open
contextMenu,190.1535,clock,open
contextMenu,191.4883,scissors,open
contextMenu,217.2724,tv,open
contextMenu,218.4628,keyboard,open
contextMenu,220.0279,potted plant,open
contextMenu,222.5972,smartphone,open
contextMenu,224.4942,teddy bear,open
contextMenu,226.0591,apple,open
contextMenu,238.8497,donut,open
