event,timestamp,app,action
hover,8.473638,tv,on
hover,8.641108,tv,off
hover,31.06003,teddy bear,on
hover,31.18865,teddy bear,off
hover,49.00627,teddy bear,on
hover,49.04177,teddy bear,off
hover,50.47245,bottle,on
hover,50.67195,bottle,off
hover,61.59666,sports ball,on
hover,61.76411,sports ball,on
hover,62.0646,sports ball,off
hover,62.16367,sports ball,on
hover,62.19088,sports ball,off
hover,71.75951,wine glass,on
hover,71.82186,wine glass,off
hover,77.54658,airplane,on
hover,77.57993,airplane,off
hover,77.94934,airplane,on
hover,78.34944,airplane,off
hover,80.3886,zebra,on
hover,80.54916,zebra,on
hover,81.11436,zebra,off
hover,82.07953,zebra,on
hover,82.37933,zebra,off
hover,85.14654,cup,on
hover,85.27611,cup,off
hover,88.14112,bottle,on
hover,88.30862,bottle,off
hover,97.23564,sports ball,on
hover,97.7372,sports ball,off
hover,100.1652,sports ball,on
hover,101.1977,sports ball,off
hover,102.6623,sports ball,on
hover,102.8642,sports ball,off
hover,104.4277,cup,on
hover,104.4618,cup,off
hover,121.1119,apple,on
hover,121.9468,apple,off
hover,123.6127,apple,on
hover,123.7116,apple,off
hover,143.8933,book,on
hover,143.9601,book,off
hover,153.0247,smartphone,on
hover,153.2265,smartphone,off
hover,154.7197,clock,on
hover,154.7856,clock,off
hover,168.9386,car,on
hover,169.7359,car,off
hover,190.9188,scissors,on
hover,191.3537,scissors,off
hover,191.4187,scissors,on
hover,191.6523,scissors,off
hover,194.3515,scissors,on
hover,194.4865,scissors,off
hover,210.3713,book,on
hover,210.5059,book,off
hover,238.4122,donut,on
hover,239.2772,donut,off
hover,240.6466,donut,on
hover,240.9767,donut,off
hover,253.7029,giraffe,on
hover,253.9041,giraffe,off
