event,timestamp,object,position
object,7.088357,tv,(0.548; 0.419; -7.339)
object,7.088357,keyboard,(0.335; 0.214; -7.629)
object,7.088357,chair,(0.237; 0.091; -8.053)
object,7.088357,mouse,(0.586; 0.216; -7.843)
object,7.241103,clock,(-0.522; -0.300; -6.682)
object,7.241103,teddy bear,(0.043; 0.339; -6.948)
object,18.2681,book,(0.771; 0.289; -7.755)
object,36.41607,smartphone,(0.037; 0.199; -7.346)
object,37.0155,potted plant,(0.255; 0.281; -7.124)
object,44.94499,scissors,(-0.185; 0.223; -7.258)
object,50.37162,bottle,(-1.730; 0.311; -7.644)
object,51.33485,zebra,(-1.370; 0.239; -7.947)
object,51.33485,wine glass,(-1.602; 0.231; -7.508)
object,51.97232,airplane,(-1.293; 0.251; -7.715)
object,55.66778,cup,(-1.700; 0.292; -7.891)
object,55.80299,tennis racket,(-1.749; 0.224; -8.248)
object,60.96439,sports ball,(-1.533; 0.250; -8.079)
object,70.42289,apple,(-1.059; 0.294; -7.512)
object,87.64324,car,(-1.951; 0.249; -8.128)
object,234.2482,donut,(-1.313; 0.260; -7.330)
object,253.2701,giraffe,(-1.529; 0.234; -7.764)
