event,timestamp,object,position
object,6.139994,clock,(0.120; -0.305; -6.860)
object,6.139994,teddy bear,(0.642; 0.321; -7.201)
object,7.039736,keyboard,(0.840; 0.196; -7.903)
object,7.039736,tv,(1.023; 0.405; -7.599)
object,9.898934,chair,(0.666; 0.052; -8.313)
object,10.59673,mouse,(1.041; 0.194; -8.151)
object,14.59749,book,(1.236; 0.278; -8.089)
object,38.24554,scissors,(0.385; 0.201; -7.448)
object,51.96729,potted plant,(0.870; 0.233; -7.358)
object,59.29245,bottle,(-1.207; 0.290; -7.612)
object,79.37667,cup,(-1.272; 0.277; -7.895)
object,80.74407,wine glass,(-1.059; 0.223; -7.489)
object,84.6069,zebra,(-0.915; 0.236; -7.982)
object,85.87361,tennis racket,(-1.333; 0.213; -8.276)
object,87.43728,sports ball,(-1.095; 0.250; -8.104)
object,89.13528,car,(-1.521; 0.257; -8.079)
object,97.39596,airplane,(-0.783; 0.234; -7.764)
object,170.9011,smartphone,(0.572; 0.197; -7.607)
object,297.0938,donut,(-0.828; 0.251; -7.373)
object,322.1715,giraffe,(-1.056; 0.233; -7.794)
object,373.6635,apple,(-0.542; 0.283; -7.625)
