event,timestamp,object,position
object,6.28674,teddy bear,(-0.268; 0.338; -8.062)
object,6.28674,keyboard,(0.254; 0.242; -8.547)
object,6.472463,book,(0.655; 0.306; -8.460)
object,8.232396,tv,(0.335; 0.426; -8.248)
object,8.403877,clock,(-0.890; -0.241; -8.010)
object,8.403877,scissors,(-0.364; 0.225; -8.427)
object,15.6326,potted plant,(0.003; 0.267; -8.108)
object,24.95481,mouse,(0.548; 0.227; -8.695)
object,43.00754,smartphone,(-0.067; -0.141; -7.956)
object,58.06148,bottle,(-1.629; 0.314; -9.344)
object,58.19349,cup,(-1.519; 0.300; -9.598)
object,58.693,zebra,(-1.201; 0.238; -9.506)
object,59.55988,tennis racket,(-1.426; 0.225; -9.984)
object,61.29116,airplane,(-1.225; 0.251; -9.268)
object,61.92603,sports ball,(-1.302; 0.282; -9.717)
object,75.48047,car,(-1.681; 0.259; -9.887)
object,92.76779,wine glass,(-1.599; 0.246; -9.147)
object,134.4285,chair,(0.255; -0.055; -8.959)
object,156.1799,donut,(-1.355; 0.281; -8.951)
object,157.8455,apple,(-1.062; 0.302; -9.010)
object,193.4621,giraffe,(-1.377; 0.323; -9.449)
