event,timestamp,app,action
hover,7.848919,scissors,on
hover,7.92381,scissors,off
hover,8.215233,clock,on
hover,8.281118,clock,off
hover,9.013357,scissors,on
hover,9.07994,scissors,off
hover,9.281014,scissors,on
hover,9.414271,scissors,on
hover,9.68076,scissors,off
hover,11.57813,scissors,on
hover,11.74561,scissors,off
hover,14.11043,teddy bear,on
hover,14.145,teddy bear,off
hover,23.20318,clock,on
hover,24.43599,clock,off
hover,27.43304,clock,on
hover,27.63232,clock,off
hover,27.66636,clock,on
hover,28.2662,clock,off
hover,30.26514,clock,on
hover,30.33088,clock,off
hover,38.99001,potted plant,on
hover,39.32159,potted plant,off
hover,39.72194,potted plant,on
hover,40.12272,potted plant,on
hover,40.28761,potted plant,on
hover,40.35602,potted plant,off
hover,41.48713,potted plant,on
hover,41.62051,potted plant,off
hover,45.21859,smartphone,on
hover,45.51902,smartphone,off
hover,54.81001,smartphone,on
hover,54.87868,smartphone,off
hover,55.08165,smartphone,on
hover,56.0498,smartphone,off
hover,62.0381,book,on
hover,62.13837,book,off
hover,64.23634,book,on
hover,65.10196,book,off
hover,71.5634,book,on
hover,72.42804,book,off
hover,80.86021,airplane,on
hover,83.18638,sports ball,on
hover,84.45904,sports ball,on
hover,85.38661,sports ball,off
hover,85.48382,cup,on
hover,85.55196,cup,off
hover,91.51267,zebra,on
hover,91.84518,zebra,off
hover,98.17473,airplane,on
hover,98.50753,airplane,off
hover,102.7033,apple,on
hover,103.2034,apple,off
hover,106.8995,donut,on
hover,107.8663,wine glass,on
hover,107.9648,wine glass,off
hover,108.2647,wine glass,on
hover,108.3706,wine glass,off
hover,119.8565,wine glass,on
hover,120.2888,wine glass,on
hover,120.9885,wine glass,off
hover,125.019,bottle,on
hover,125.758,bottle,off
hover,131.9117,airplane,on
hover,131.9787,airplane,off
hover,132.1114,airplane,on
hover,132.3106,airplane,off
hover,132.4127,apple,on
hover,132.4771,apple,off
hover,135.7415,apple,on
hover,135.7764,apple,off
hover,136.1755,airplane,on
hover,136.4415,airplane,off
hover,136.7741,apple,on
hover,137.6071,apple,off
hover,144.3394,airplane,on
hover,144.6725,airplane,off
hover,153.3947,sports ball,on
hover,153.7598,sports ball,off
hover,153.8279,car,on
hover,153.8598,car,off
hover,155.5915,car,on
hover,155.6582,car,off
hover,156.6994,cup,on
hover,156.7575,cup,off
hover,158.8887,cup,on
hover,159.1223,cup,off
hover,160.7205,cup,on
hover,160.8538,cup,on
hover,160.9533,cup,off
hover,167.5531,giraffe,on
hover,168.7148,giraffe,on
hover,168.8152,giraffe,off
hover,175.2422,cup,on
hover,175.5085,cup,on
hover,176.375,cup,off
hover,182.6698,car,on
hover,182.9024,car,off
hover,182.9697,car,on
hover,183.5016,car,off
hover,189.0998,wine glass,on
hover,190.3297,wine glass,off
hover,207.2901,chair,on
hover,207.4819,chair,off
hover,210.0132,chair,on
hover,210.8783,chair,off
