event,timestamp,object,position
object,6.416875,clock,(-0.123; -0.287; -7.937)
object,6.416875,teddy bear,(0.455; 0.334; -8.172)
object,6.416875,scissors,(0.237; 0.222; -8.489)
object,7.882277,keyboard,(0.735; 0.235; -8.828)
object,12.31205,potted plant,(0.658; 0.287; -8.356)
object,17.30853,tv,(0.985; 0.418; -8.555)
object,44.31954,smartphone,(0.709; -0.217; -8.164)
object,50.08111,book,(1.136; 0.276; -8.805)
object,54.14557,mouse,(1.004; 0.230; -9.036)
object,80.22206,wine glass,(-1.160; 0.237; -8.821)
object,80.55373,zebra,(-0.913; 0.247; -9.245)
object,80.86021,airplane,(-0.844; 0.253; -9.017)
object,82.65366,cup,(-1.237; 0.302; -9.229)
object,83.18638,car,(-1.479; 0.259; -9.444)
object,83.18638,sports ball,(-1.066; 0.264; -9.393)
object,92.44608,tennis racket,(-1.268; 0.231; -9.569)
object,102.6353,apple,(-0.611; 0.298; -8.819)
object,106.8995,donut,(-0.884; 0.276; -8.654)
object,123.9877,bottle,(-1.356; 0.312; -9.007)
object,167.5531,giraffe,(-1.092; 0.236; -9.081)
object,206.7157,chair,(0.656; -0.078; -9.178)
