event,timestamp,object,app,response
activity,15.10171,tv,Packer,Create Ticket
activity,17.93365,mouse,Packer,Create Ticket
activity,21.02634,book,Packer,Remove
activity,24.36443,smartphone,Packer,Create Ticket
activity,28.68818,keyboard,Packer,Remove
activity,32.02017,potted plant,Packer,Create Ticket
activity,36.91957,clock,Packer,Create Ticket
activity,44.68003,PhysicalObject(Clone),Lang. Learn,Hard
activity,48.2084,PhysicalObject(Clone),Lang. Learn,Hard
activity,55.00167,potted plant,TODO,Plus
activity,58.46558,scissors,TODO,Plus
activity,61.69242,teddy bear,TODO,Plus
activity,63.72617,smartphone,TODO,Plus
activity,66.4897,book,TODO,Check
activity,78.94701,PhysicalObject(Clone),Lang. Learn,Good
activity,84.6437,PhysicalObject(Clone),Lang. Learn,Good
activity,90.16871,chair,Packer,Create Ticket
activity,109.9231,wine glass,Packer,Create Ticket
activity,114.1218,cup,Packer,Create Ticket
activity,117.3839,car,Packer,Remove
activity,132.7671,PhysicalObject(Clone),Lang. Learn,Good
activity,136.9962,PhysicalObject(Clone),Lang. Learn,Hard
activity,142.8247,PhysicalObject(Clone),Lang. Learn,Easy
activity,149.319,PhysicalObject(Clone),Lang. Learn,Easy
activity,151.4853,PhysicalObject(Clone),Lang. Learn,Easy
activity,156.2215,PhysicalObject(Clone),Lang. Learn,Easy
activity,165.1243,sports ball,TODO,Plus
activity,173.149,wine glass,TODO,Plus
activity,176.6499,airplane,TODO,Plus
activity,181.1083,cup,TODO,Plus
activity,194.0018,tennis racket,TODO,Plus
activity,214.7176,donut,TODO,Plus
activity,226.0385,PhysicalObject(Clone),Lang. Learn,Good
activity,231.999,PhysicalObject(Clone),Lang. Learn,Good
activity,237.5647,apple,TODO,Plus
activity,258.2971,apple,Packer,Create Ticket
