event,timestamp,app,action
hover,7.572386,teddy bear,on
hover,7.60363,teddy bear,off
hover,8.138484,teddy bear,on
hover,8.605343,teddy bear,off
hover,12.369,tv,on
hover,12.56728,tv,on
hover,12.6714,tv,off
hover,29.18925,scissors,on
hover,29.25506,scissors,on
hover,29.52242,scissors,off
hover,51.9747,teddy bear,on
hover,52.03546,teddy bear,off
hover,85.0398,chair,on
hover,85.11071,chair,off
hover,85.30571,chair,on
hover,85.77341,chair,off
hover,98.89496,bottle,on
hover,98.99431,bottle,off
hover,99.36062,wine glass,on
hover,99.46033,wine glass,off
hover,108.8602,airplane,on
hover,109.4526,airplane,off
hover,110.4184,sports ball,on
hover,110.5184,sports ball,off
hover,110.6847,sports ball,on
hover,110.7519,sports ball,off
hover,111.2844,bottle,on
hover,111.3512,bottle,off
hover,118.4441,tennis racket,on
hover,118.5115,tennis racket,off
hover,118.7436,tennis racket,on
hover,118.8804,tennis racket,off
hover,119.8127,giraffe,on
hover,120.0145,giraffe,off
hover,120.2166,wine glass,on
hover,120.3427,wine glass,off
hover,120.9463,bottle,on
hover,120.9774,bottle,off
hover,121.2794,bottle,on
hover,121.6431,bottle,off
hover,126.9061,car,on
hover,127.2423,car,on
hover,127.3791,car,off
hover,151.9506,wine glass,on
hover,152.0184,wine glass,off
hover,153.0851,giraffe,on
hover,153.2874,giraffe,off
hover,158.3786,airplane,on
hover,159.1766,airplane,off
hover,170.4849,airplane,on
hover,173.5149,airplane,on
hover,173.6849,airplane,off
hover,192.2987,tennis racket,on
hover,192.4349,tennis racket,off
hover,206.8539,apple,on
hover,212.1163,donut,on
hover,212.1818,donut,off
hover,212.2842,donut,on
hover,212.3482,donut,off
hover,212.9468,donut,on
hover,213.3483,donut,off
hover,215.3135,donut,on
hover,216.1119,donut,off
hover,218.409,donut,on
hover,218.9097,donut,off
hover,220.742,donut,on
hover,220.8088,donut,off
hover,226.6035,apple,on
hover,226.6713,apple,off
hover,226.9706,apple,on
hover,227.1035,apple,off
hover,233.1302,apple,on
hover,233.9058,apple,off
hover,243.9401,apple,on
hover,243.9727,apple,off
hover,245.3731,apple,on
hover,245.4738,apple,off
hover,245.8044,apple,on
hover,245.9729,apple,off
hover,251.404,apple,on
hover,251.6335,apple,on
hover,251.7995,apple,off
hover,254.1381,apple,on
hover,254.1995,apple,off
