event,timestamp,object,position
object,6.405218,teddy bear,(-0.434; 0.339; -7.976)
object,6.872348,keyboard,(0.088; 0.237; -8.494)
object,7.639941,mouse,(0.404; 0.228; -8.594)
object,8.209825,clock,(-1.061; -0.228; -7.938)
object,8.703116,tv,(0.164; 0.416; -8.143)
object,8.703116,scissors,(-0.517; 0.234; -8.359)
object,10.14207,smartphone,(-0.274; 0.225; -8.381)
object,12.87323,book,(0.498; 0.308; -8.383)
object,16.69933,potted plant,(-0.183; 0.295; -8.086)
object,80.41009,chair,(0.116; -0.043; -8.825)
object,96.92987,wine glass,(-1.719; 0.236; -9.152)
object,97.89618,cup,(-1.626; 0.315; -9.549)
object,97.89618,tennis racket,(-1.510; 0.244; -9.925)
object,98.46298,bottle,(-1.808; 0.318; -9.362)
object,99.86153,zebra,(-1.328; 0.254; -9.456)
object,100.4932,airplane,(-1.347; 0.260; -9.221)
object,107.3558,sports ball,(-1.200; 0.284; -8.987)
object,113.1486,car,(-1.780; 0.269; -9.849)
object,117.0521,giraffe,(-1.560; 0.237; -9.352)
object,206.8539,apple,(-1.459; 0.249; -9.657)
object,209.65,donut,(-1.494; 0.277; -8.908)
