event,timestamp,object,app,response
activity,31.24185,chair,Packer,Remove
activity,33.70577,mouse,Packer,Create Ticket
activity,35.08829,keyboard,Packer,Create Ticket
activity,38.24554,book,Packer,Create Ticket
activity,71.62374,PhysicalObject(Clone),Lang. Learn,Easy
activity,78.31927,tv,Packer,Remove
activity,79.37667,smartphone,Packer,Create Ticket
activity,81.24999,potted plant,Packer,Create Ticket
activity,87.3615,potted plant,TODO,Plus
activity,88.13528,book,TODO,Check
activity,89.90846,teddy bear,TODO,Plus
activity,113.9152,smartphone,TODO,Check
activity,115.7454,scissors,TODO,Check
activity,120.8501,apple,TODO,Plus
activity,123.6316,airplane,TODO,Plus
activity,128.9773,wine glass,TODO,Plus
activity,135.5212,PhysicalObject(Clone),Lang. Learn,Easy
activity,138.1193,PhysicalObject(Clone),Lang. Learn,Easy
activity,140.9989,PhysicalObject(Clone),Lang. Learn,Hard
activity,147.6266,clock,Packer,Create Ticket
activity,161.2156,apple,Packer,Remove
activity,165.3958,wine glass,Packer,Create Ticket
activity,172.5245,PhysicalObject(Clone),Lang. Learn,Easy
activity,175.171,PhysicalObject(Clone),Lang. Learn,Good
activity,177.3352,PhysicalObject(Clone),Lang. Learn,Easy
activity,185.196,sports ball,TODO,Plus
activity,186.7122,cup,TODO,Plus
activity,194.8875,tennis racket,TODO,Plus
activity,199.75,car,Packer,Remove
activity,203.5803,PhysicalObject(Clone),Lang. Learn,Hard
activity,215.9532,cup,Packer,Remove
activity,266.8934,donut,TODO,Plus
activity,272.0894,PhysicalObject(Clone),Lang. Learn,Easy
activity,276.4026,PhysicalObject(Clone),Lang. Learn,Easy
activity,293.9833,PhysicalObject(Clone),Lang. Learn,Easy
activity,297.7134,PhysicalObject(Clone),Lang. Learn,Easy
