event,timestamp,app,action
hover,7.177941,keyboard,on
hover,7.394071,keyboard,on
hover,7.943324,keyboard,on
hover,8.177666,keyboard,off
hover,17.13588,teddy bear,on
hover,17.20273,teddy bear,off
hover,18.50175,keyboard,on
hover,19.48394,keyboard,off
hover,20.71667,chair,on
hover,21.43234,chair,off
hover,22.73186,mouse,on
hover,22.7653,mouse,off
hover,23.11488,mouse,on
hover,24.08064,mouse,off
hover,24.54705,mouse,on
hover,25.26305,mouse,on
hover,25.47955,mouse,off
hover,25.56282,mouse,on
hover,25.84595,mouse,on
hover,26.17901,mouse,on
hover,26.32882,mouse,off
hover,28.07743,mouse,on
hover,29.75928,mouse,off
hover,30.1594,mouse,on
hover,30.67521,mouse,off
hover,62.53178,tv,on
hover,62.56503,tv,off
hover,64.13377,teddy bear,on
hover,64.33354,teddy bear,off
hover,65.56252,potted plant,on
hover,65.61272,potted plant,off
hover,65.74541,tv,on
hover,65.79635,tv,off
hover,67.44362,chair,on
hover,68.35995,chair,off
hover,74.63801,tv,on
hover,75.30457,tv,off
hover,81.68232,potted plant,on
hover,81.99847,potted plant,on
hover,82.46502,potted plant,off
hover,115.9717,wine glass,on
hover,116.2876,wine glass,off
hover,116.9365,car,on
hover,117.103,car,off
hover,117.6355,tennis racket,on
hover,117.7859,tennis racket,off
hover,118.3355,wine glass,on
hover,118.386,wine glass,off
hover,118.5023,apple,on
hover,118.5351,apple,off
hover,118.8851,apple,on
hover,118.952,apple,off
hover,121.4324,apple,on
hover,121.9825,apple,off
hover,124.6972,airplane,on
hover,125.7131,airplane,off
hover,127.6951,wine glass,on
hover,127.7949,wine glass,off
hover,129.593,wine glass,on
hover,130.4928,wine glass,off
hover,131.3251,airplane,on
hover,131.5081,airplane,off
hover,142.2483,apple,on
hover,142.2649,apple,off
hover,142.5141,clock,on
hover,142.5803,clock,off
hover,142.9806,clock,on
hover,143.1304,clock,off
hover,143.3467,clock,on
hover,144.196,clock,off
hover,149.109,apple,on
hover,150.2748,apple,off
hover,151.6904,wine glass,on
hover,152.7731,wine glass,off
hover,153.2557,wine glass,on
hover,153.5391,wine glass,off
hover,169.243,bottle,on
hover,169.826,bottle,off
hover,170.7416,bottle,on
hover,171.0245,bottle,on
hover,171.1411,bottle,off
hover,178.2016,cup,on
hover,179.1177,cup,off
hover,181.6155,cup,on
hover,181.7318,cup,off
hover,195.3366,car,on
hover,195.4201,car,off
hover,196.6028,car,on
hover,197.2191,car,off
hover,200.083,car,on
hover,200.6158,car,off
hover,205.845,cup,on
hover,206.4449,cup,off
hover,262.3305,donut,on
hover,262.43,donut,on
hover,262.98,donut,off
hover,267.5761,donut,on
hover,268.0753,donut,off
hover,269.5415,donut,on
hover,269.691,donut,off
hover,273.7546,giraffe,on
hover,274.0377,giraffe,off
