event,timestamp,object,position
object,6.561429,keyboard,(0.335; 0.214; -7.629)
object,6.561429,chair,(0.237; 0.091; -8.053)
object,6.561429,mouse,(0.586; 0.216; -7.843)
object,6.561429,clock,(-0.522; -0.300; -6.682)
object,6.561429,teddy bear,(0.043; 0.339; -6.948)
object,6.561429,scissors,(0.385; 0.201; -7.448)
object,6.561429,smartphone,(0.572; 0.197; -7.607)
object,11.34308,tv,(0.548; 0.419; -7.339)
object,14.59749,book,(1.236; 0.278; -8.089)
object,37.62199,potted plant,(0.255; 0.281; -7.124)
object,47.66376,wine glass,(-1.602; 0.231; -7.508)
object,51.06086,zebra,(-1.370; 0.239; -7.947)
object,51.74314,bottle,(-1.730; 0.311; -7.644)
object,55.59025,cup,(-1.700; 0.292; -7.891)
object,56.00671,airplane,(-1.293; 0.251; -7.715)
object,57.02269,tennis racket,(-1.749; 0.224; -8.248)
object,62.89806,sports ball,(-1.533; 0.250; -8.079)
object,66.29483,apple,(-1.059; 0.294; -7.512)
object,84.77985,car,(-1.951; 0.249; -8.128)
object,238.9992,donut,(-1.313; 0.260; -7.330)
object,251.0225,giraffe,(-1.529; 0.234; -7.764)
