event,timestamp,object,app,response
activity,16.28471,PhysicalObject(Clone),Lang. Learn,Easy
activity,19.21527,PhysicalObject(Clone),Lang. Learn,Easy
activity,27.30791,tv,Packer,Remove
activity,30.23855,keyboard,Packer,Create Ticket
activity,32.32063,book,Packer,Remove
activity,34.38571,potted plant,Packer,Create Ticket
activity,37.33204,mouse,Packer,Create Ticket
activity,44.37658,PhysicalObject(Clone),Lang. Learn,Easy
activity,51.03806,book,TODO,Check
activity,53.78612,teddy bear,TODO,Plus
activity,56.11673,potted plant,TODO,Plus
activity,58.032,scissors,TODO,Plus
activity,60.09752,smartphone,TODO,Plus
activity,67.2749,smartphone,Packer,Create Ticket
activity,96.05018,clock,Packer,Remove
activity,101.995,wine glass,Packer,Create Ticket
activity,104.2774,cup,Packer,Remove
activity,114.4684,PhysicalObject(Clone),Lang. Learn,Good
activity,117.2163,PhysicalObject(Clone),Lang. Learn,Good
activity,123.9273,PhysicalObject(Clone),Lang. Learn,Easy
activity,126.4912,PhysicalObject(Clone),Lang. Learn,Easy
activity,129.3404,PhysicalObject(Clone),Lang. Learn,Easy
activity,136.283,airplane,TODO,Plus
activity,138.332,wine glass,TODO,Plus
activity,142.1787,cup,TODO,Plus
activity,143.7768,sports ball,TODO,Plus
activity,147.8066,tennis racket,TODO,Plus
activity,153.169,car,Packer,Remove
activity,160.8623,apple,Packer,Remove
activity,165.7917,PhysicalObject(Clone),Lang. Learn,Easy
activity,169.2223,PhysicalObject(Clone),Lang. Learn,Easy
activity,172.0533,PhysicalObject(Clone),Lang. Learn,Easy
activity,182.4276,apple,TODO,Plus
activity,185.6076,donut,TODO,Plus
activity,193.102,chair,Packer,Remove
activity,272.0894,PhysicalObject(Clone),Lang. Learn,Easy
