event,timestamp,object,position
object,6.610779,tv,(0.548; 0.419; -7.339)
object,6.610779,keyboard,(0.335; 0.214; -7.629)
object,6.610779,chair,(0.237; 0.091; -8.053)
object,6.610779,clock,(-0.522; -0.300; -6.682)
object,7.625018,mouse,(0.586; 0.216; -7.843)
object,10.65247,teddy bear,(0.043; 0.339; -6.948)
object,22.17631,book,(0.771; 0.289; -7.755)
object,36.41607,smartphone,(0.037; 0.199; -7.346)
object,41.97741,potted plant,(0.255; 0.281; -7.124)
object,48.22185,zebra,(-1.370; 0.239; -7.947)
object,49.55436,scissors,(-0.185; 0.223; -7.258)
object,51.00252,wine glass,(-1.602; 0.231; -7.508)
object,51.10296,bottle,(-1.730; 0.311; -7.644)
object,51.93572,tennis racket,(-1.749; 0.224; -8.248)
object,56.2146,cup,(-1.700; 0.292; -7.891)
object,56.33125,airplane,(-1.293; 0.251; -7.715)
object,60.74548,sports ball,(-1.533; 0.250; -8.079)
object,73.95101,apple,(-1.059; 0.294; -7.512)
object,89.2216,car,(-1.951; 0.249; -8.128)
object,235.5152,donut,(-1.313; 0.260; -7.330)
object,251.535,giraffe,(-1.529; 0.234; -7.764)
