event,timestamp,object,app,response
activity,14.51804,teddy bear,TODO,Plus
activity,16.74971,scissors,TODO,Plus
activity,25.27584,book,Packer,Remove
activity,26.60835,keyboard,Packer,Create Ticket
activity,32.21999,book,TODO,Check
activity,37.99879,PhysicalObject(Clone),Lang. Learn,Easy
activity,41.56213,mouse,Packer,Create Ticket
activity,43.84366,tv,Packer,Remove
activity,50.48829,potted plant,Packer,Create Ticket
activity,57.18231,potted plant,TODO,Plus
activity,60.76219,smartphone,TODO,Plus
activity,65.40884,smartphone,Packer,Create Ticket
activity,71.18856,clock,Packer,Create Ticket
activity,78.38082,PhysicalObject(Clone),Lang. Learn,Good
activity,80.24635,PhysicalObject(Clone),Lang. Learn,Good
activity,84.85914,PhysicalObject(Clone),Lang. Learn,Easy
activity,87.20778,PhysicalObject(Clone),Lang. Learn,Easy
activity,92.28656,PhysicalObject(Clone),Lang. Learn,Easy
activity,95.30074,PhysicalObject(Clone),Lang. Learn,Hard
activity,100.3136,sports ball,TODO,Plus
activity,102.395,cup,TODO,Check
activity,104.2436,wine glass,TODO,Plus
activity,106.9574,airplane,TODO,Plus
activity,115.5836,tennis racket,TODO,Plus
activity,125.0255,car,Packer,Remove
activity,127.674,cup,Packer,Remove
activity,130.0376,wine glass,Packer,Create Ticket
activity,140.7793,PhysicalObject(Clone),Lang. Learn,Good
activity,152.6023,PhysicalObject(Clone),Lang. Learn,Easy
activity,155.6504,PhysicalObject(Clone),Lang. Learn,Good
activity,159.9461,apple,TODO,Plus
activity,162.027,donut,TODO,Check
activity,166.6075,apple,Packer,Remove
activity,172.9861,chair,Packer,Remove
activity,177.6142,PhysicalObject(Clone),Lang. Learn,Good
activity,194.8845,PhysicalObject(Clone),Lang. Learn,Easy
