event,timestamp,object,position
object,7.124852,clock,(-0.097; -0.275; -7.761)
object,7.491059,teddy bear,(0.490; 0.322; -8.009)
object,8.457348,scissors,(0.261; 0.221; -8.345)
object,18.74741,keyboard,(0.794; 0.218; -8.665)
object,21.44502,book,(1.166; 0.274; -8.689)
object,27.50746,tv,(0.995; 0.411; -8.392)
object,27.84008,potted plant,(0.687; 0.269; -8.197)
object,31.05394,mouse,(1.036; 0.211; -8.886)
object,52.03665,smartphone,(0.485; 0.214; -8.449)
object,81.84446,zebra,(-0.887; 0.228; -9.071)
object,82.56062,bottle,(-1.292; 0.297; -8.806)
object,83.92625,airplane,(-0.816; 0.243; -8.845)
object,87.34041,wine glass,(-1.131; 0.227; -8.652)
object,88.82339,cup,(-1.227; 0.277; -9.043)
object,90.88775,sports ball,(-1.080; 0.242; -9.194)
object,110.0554,car,(-1.466; 0.243; -9.261)
object,110.9043,tennis racket,(-1.240; 0.216; -9.415)
object,135.5004,donut,(-0.859; 0.249; -8.418)
object,136.7994,apple,(-0.591; 0.286; -8.618)
object,146.1746,giraffe,(-1.079; 0.222; -8.911)
object,168.006,chair,(0.649; -0.104; -9.013)
