event,timestamp,object,position
object,6.574045,scissors,(0.261; 0.221; -8.345)
object,8.622827,clock,(-0.097; -0.275; -7.761)
object,11.43695,teddy bear,(0.490; 0.322; -8.009)
object,15.51743,keyboard,(0.794; 0.218; -8.665)
object,18.24817,tv,(0.995; 0.411; -8.392)
object,23.54375,potted plant,(0.687; 0.269; -8.197)
object,25.24266,book,(1.166; 0.274; -8.689)
object,32.95343,mouse,(1.036; 0.211; -8.886)
object,56.66629,smartphone,(0.485; 0.214; -8.449)
object,83.99265,airplane,(-0.816; 0.243; -8.845)
object,84.35911,zebra,(-0.887; 0.228; -9.071)
object,85.49185,bottle,(-1.292; 0.297; -8.806)
object,86.30766,wine glass,(-1.131; 0.227; -8.652)
object,88.2233,sports ball,(-1.080; 0.242; -9.194)
object,88.52243,cup,(-1.227; 0.277; -9.043)
object,104.459,tennis racket,(-1.240; 0.216; -9.415)
object,113.1688,car,(-1.466; 0.243; -9.261)
object,138.4811,apple,(-0.591; 0.286; -8.618)
object,138.8145,donut,(-0.859; 0.249; -8.418)
object,140.0964,giraffe,(-1.079; 0.222; -8.911)
object,167.8398,chair,(0.649; -0.104; -9.013)
