event,timestamp,app,action
appUsage,4.480073,Home,start
appUsage,4.480073,TODO,stop
appUsage,4.480073,Packer,stop
appUsage,4.480073,Lang. Learn,stop
appUsage,4.480073,Home,start
appUsage,10.48199,Home,stop
appUsage,10.48199,Packer,start
appUsage,19.82252,Packer,stop
appUsage,19.82252,Lang. Learn,start
appUsage,26.91719,Lang. Learn,stop
appUsage,26.91719,TODO,start
appUsage,49.26458,TODO,stop
appUsage,49.26458,Packer,start
appUsage,78.75684,Packer,stop
appUsage,78.75684,Lang. Learn,start
appUsage,135.1436,Lang. Learn,stop
appUsage,135.1436,TODO,start
appUsage,162.4873,TODO,stop
appUsage,162.4873,Packer,start
appUsage,188.3985,Packer,stop
appUsage,188.3985,Lang. Learn,start
appUsage,193.7109,Lang. Learn,stop
appUsage,193.7109,TODO,start
appUsage,203.952,TODO,stop
appUsage,203.952,Packer,start
appUsage,213.3111,Packer,stop
appUsage,213.3111,Lang. Learn,start
appUsage,239.739,Lang. Learn,stop
appUsage,239.739,TODO,start
appUsage,256.874,TODO,stop
appUsage,256.874,Lang. Learn,start
appUsage,263.3348,Lang. Learn,stop
appUsage,263.3348,TODO,start
appUsage,266.1164,TODO,stop
appUsage,266.1164,Packer,start
appUsage, 268.9475,Packer,stop
