event,timestamp,object,position
object,6.566972,clock,(-0.097; -0.275; -7.761)
object,7.016149,teddy bear,(0.490; 0.322; -8.009)
object,9.198599,keyboard,(0.794; 0.218; -8.665)
object,10.24744,scissors,(0.261; 0.221; -8.345)
object,21.8045,book,(1.166; 0.274; -8.689)
object,24.46939,tv,(0.995; 0.411; -8.392)
object,28.31566,potted plant,(0.687; 0.269; -8.197)
object,32.46261,mouse,(1.036; 0.211; -8.886)
object,58.07435,smartphone,(0.485; 0.214; -8.449)
object,81.85434,airplane,(-0.816; 0.243; -8.845)
object,84.1029,wine glass,(-1.131; 0.227; -8.652)
object,85.10179,bottle,(-1.292; 0.297; -8.806)
object,85.98415,zebra,(-0.887; 0.228; -9.071)
object,88.24929,sports ball,(-1.080; 0.242; -9.194)
object,89.28162,cup,(-1.227; 0.277; -9.043)
object,108.8485,tennis racket,(-1.240; 0.216; -9.415)
object,109.6317,car,(-1.466; 0.243; -9.261)
object,131.213,apple,(-0.591; 0.286; -8.618)
object,138.7738,giraffe,(-1.079; 0.222; -8.911)
object,138.9902,donut,(-0.859; 0.249; -8.418)
object,163.8358,chair,(0.649; -0.104; -9.013)
