event,timestamp,object,position
object,6.592586,keyboard,(0.471; 0.233; -8.412)
object,6.875807,tv,(0.649; 0.432; -8.140)
object,7.142426,clock,(-0.525; -0.276; -7.619)
object,7.142426,teddy bear,(0.073; 0.333; -7.800)
object,9.372711,mouse,(0.718; 0.233; -8.619)
object,9.372711,book,(0.873; 0.301; -8.437)
object,13.26886,potted plant,(0.298; 0.292; -7.975)
object,16.03381,scissors,(-0.108; 0.237; -8.164)
object,20.29564,smartphone,(0.126; 0.220; -8.233)
object,23.89354,wine glass,(-1.509; 0.233; -8.613)
object,24.42484,cup,(-1.545; 0.304; -9.035)
object,25.15847,zebra,(-1.168; 0.240; -9.003)
object,25.25956,bottle,(-1.614; 0.317; -8.799)
object,27.22534,tennis racket,(-1.473; 0.240; -9.417)
object,28.59113,sports ball,(-1.355; 0.282; -9.209)
object,32.31968,airplane,(-1.116; 0.257; -8.774)
object,37.44823,giraffe,(-1.361; 0.242; -8.883)
object,41.11261,donut,(-1.202; 0.273; -8.384)
object,42.84328,apple,(-0.912; 0.303; -8.570)
object,99.08437,chair,(0.354; -0.059; -8.800)
object,138.72,car,(-1.735; 0.266; -9.264)
