event,timestamp,object,position
object,6.306931,teddy bear,(0.269; 0.330; -7.905)
object,7.495124,chair,(0.455; -0.033; -8.889)
object,8.024552,keyboard,(0.511; 0.236; -8.593)
object,10.49184,book,(0.947; 0.299; -8.618)
object,10.49184,tv,(0.692; 0.407; -8.275)
object,10.62229,mouse,(0.752; 0.233; -8.806)
object,12.99457,scissors,(0.005; 0.239; -8.228)
object,15.65327,clock,(-0.281; -0.293; -7.644)
object,16.93335,potted plant,(0.444; 0.290; -8.091)
object,23.59408,smartphone,(0.231; 0.220; -8.333)
object,25.69197,wine glass,(-1.425; 0.226; -8.474)
object,26.0931,zebra,(-1.161; 0.240; -8.912)
object,26.65822,airplane,(-1.081; 0.254; -8.676)
object,26.99228,cup,(-1.483; 0.303; -8.867)
object,27.35829,sports ball,(-1.337; 0.286; -9.087)
object,32.15354,tennis racket,(-1.536; 0.233; -9.201)
object,33.4185,car,(-1.750; 0.275; -9.078)
object,35.41751,bottle,(-1.583; 0.288; -8.603)
object,39.34738,donut,(-1.103; 0.275; -8.289)
object,47.0084,apple,(-0.855; 0.305; -8.505)
object,60.2847,giraffe,(-1.328; 0.240; -8.750)
