event, timestamp, object, position
object, 6.5611, clock, (-0.097; -0.275; -7.761)
object, 6.5611, teddy bear, (0.490; 0.322; -8.009)
object, 6.934235, scissors, (0.261; 0.221; -8.345)
object, 13.75314, keyboard, (0.794; 0.218; -8.665)
object, 22.86173, book, (1.166; 0.274; -8.689)
object, 23.1679, tv, (0.995; 0.411; -8.392)
object, 27.29203, potted plant, (0.687; 0.269; -8.197)
object, 33.45052, mouse, (1.036; 0.211; -8.886)
object, 56.24912, smartphone, (0.485; 0.214; -8.449)
object, 84.33054, bottle, (-1.292; 0.297; -8.806)
object, 84.56946, wine glass, (-1.131; 0.227; -8.652)
object, 85.1203, cup, (-1.227; 0.277; -9.043)
object, 85.9323, zebra, (-0.887; 0.228; -9.071)
object, 86.68914, airplane, (-0.816; 0.243; -8.845)
object, 89.08736, sports ball, (-1.080; 0.242; -9.194)
object, 107.1498, tennis racket, (-1.240; 0.216; -9.415)
object, 108.862, car, (-1.466; 0.243; -9.261)
object, 135.0438, apple, (-0.591; 0.286; -8.618)
object, 137.0719, donut, (-0.859; 0.249; -8.418)
object, 142.5423, giraffe, (-1.079; 0.222; -8.911)
object, 163.7127, chair, (0.649; -0.104; -9.013)
